language code,en,ru
source / author,SEMAT,http://ailev.livejournal.com/1059781.html / Anatoly Levenchuk & Andrey Baida
entry type,,
A,Stakeholders,Стейкхолдеры (заинтересованные стороны)
,"The people, groups, or organizations who affect or are affected by a software system.","Люди, группы или организации, кто затрагивает или которые затрагиваются программной системой."
S,Recognized,Признаны
,Stakeholders have been identified.,Стейкхолдеры были определены.
,"All the different groups of stakeholders that are, or will be, affected by the development and operation of the software system are identified.","Все различные группы стейкхолдеров, которые на данный момент, или в будущем будут затронуты разработкой и функционированием программной системой определены."
,,
,"There is agreement on the stakeholder groups to be represented. At a minimum, the stakeholders groups that fund, use, support, and maintain the system have been considered.","Есть соглашение по группам стейкхолдеров, которые будут представлены. Как минимум, должны приниматься в расчёт группы стейкхолдеров, которые финансируют, используют, поддерживают и обслуживают систему."
,,
,The responsibilities of the stakeholder representatives have been defined.,Ответственности представителей стейкхолдеров были определены.
,,
S,Represented,Представлены
,The mechanisms for involving the stakeholders are agreed and the stakeholder representatives have been appointed.,Механизмы вовлечения стейкхолдеров согласованы и назначены представители стейкхолдеров.
,The stakeholder representatives have agreed to take on their responsibilities.,Представители стейкхолдеров согласились выполнять свои обязанности.
,,
,The stakeholder representatives are authorized to carry out their responsibilities.,Представители стейкхолдеров уполномочены выполнять свои обязанности.
,,
,The collaboration approach among the stakeholder representatives has been agreed.,Подход к обеспечению сотрудничества среди представителей стейкхолдеров был согласован.
,,
,The stakeholder representatives support and respect the team's way of working.,Представители стейкхолдеров поддерживают и уважают технологию работы команды.
,,
S,Involved,Вовлечены
,The stakeholder representatives are actively involved in the work and fulfilling their responsibilities.,Представители стейкхолдеров активно вовлечены в работу и выполняют свои обязанности.
,The stakeholder representatives assist the team in accordance with their responsibilities.,Представители стейкхолдеров помогают команде в соответствии со своими обязанностями.
,,
,The stakeholder representatives provide feedback and take part in decision making in a timely manner.,Представители стейкхолдеров обеспечивают обратную связь и принимают участие в принятии решений своевременно.
,,
,The stakeholder representatives promptly communicate changes that are relevant for their stakeholder groups.,"Представители стейкхолдеров быстро сообщают изменения, которые имеют значение для их групп стейкхолдеров."
,,
,,
S,In Agreement,В согласии
,The stakeholder representatives are in agreement.,Представители стейкхолдеров в согласии.
,The stakeholder representatives have agreed upon their minimal expectations for the next deployment of the new system.,Представители стейкхолдеров согласились с минимальными ожиданиями по следующему разворачиванию новой системы.
,,
,The stakeholder representatives are happy with their involvement in the work.,Представители стейкхолдеров удовлетворены своей вовлечённостью в работу.
,,
,The stakeholder representatives agree that their input is valued by the team and treated with respect.,"Представители стейкхолдеров согласны, что их вклад в работу ценится командой и учитывается в работе с уважением."
,,
,The team members agree that their input is valued by the stakeholder representatives and treated with respect.,"Члены команды согласны, что их вклад в работу ценится представителями стейкхолдеров и учитывается в работе с уважением."
,,
,The stakeholder representatives agree with how their different priorities and perspectives are being balanced to provide a clear direction for the team.,"Представители стейкхолдеров согласны с тем, как их различные приоритеты и точки зрения балансируются для обеспечения ясного руководства для команды."
,,
S,Satisfied for Deployment,Удовлетворены для разворачивания
